name,location,howToGo,coupleFriendly,documentsNeeded,facebookPage,reviews,category
"InterContinental Dhaka","Ramna, Dhaka","Near Moghbazar, rickshaw from Shahbag","true","NID,Passport","fb.com/intercondhaka","9.4/10 Exceptional hospitality ","hotel"
"Crowne Plaza Dhaka","Gulshan 1, Dhaka","Near Gulshan 1 Circle","true","NID,Passport","fb.com/crowneplazadhaka","9.4/10 Clean rooms and great staff ","hotel"
"Renaissance Dhaka","Gulshan, Dhaka","Near Gulshan 2 circle","true","NID,Passport","fb.com/renaissancedhaka","9.2/10 Wonderful rooftop pool [16, 17]","hotel"
"The Westin Dhaka","Gulshan 2, Dhaka","Gulshan Avenue","true","NID,Passport","fb.com/thewestindhaka","8.8/10 Excellent full-service spa [16, 17]","hotel"
"Le Meridien Dhaka","Airport Road, Dhaka","Near Nikunja 2","true","NID","fb.com/lemeridiendhaka","8.6/10 Excellent family-friendly options [16, 21]","hotel"
"Emerald Dhaka","Uttara, Dhaka","Sector 1","true","NID","fb.com/emeralddhaka","10/10 Welcoming staff, western standard [16, 21]","hotel"
"Best Western Plus","Uttara, Dhaka","Near Airport Terminal","true","NID","fb.com/bwplusmapleleaf","8.6/10 Great staff and location [16, 21]","hotel"
"Holiday Inn Dhaka","Central Dhaka","Tejgaon area","true","NID,Passport","fb.com/holidayinndhaka","9.2/10 Wonderful modern design ","hotel"
"Amari Dhaka","Gulshan 2, Dhaka","Near Gulshan Lake","true","NID","fb.com/amaridhaka","8.4/10 Very Good rooftop bar [16, 17]","hotel"
"Pan Pacific Sonargaon","Karwan Bazar, Dhaka","Beside Metro station","true","NID","fb.com/panpacificdhaka","8/10 Iconic business hotel ","hotel"
"Blossom Hotel","Baridhara, Dhaka","Diplomatic Zone","true","NID","fb.com/blossomdhaka","8.4/10 Safe and quiet ","hotel"
"The Midori","Gulshan, Dhaka","Near Gulshan 2","true","NID","fb.com/themidori","8/10 Very Good service ","hotel"
"Hyatt Place","Uttara, Dhaka","Sector 6","true","NID","fb.com/hyattplacedhaka","10/10 Exceptional rooftop view [16, 21]","hotel"
"Platinum Grand","Banani, Dhaka","Near Banani 11","true","NID","fb.com/platinumgrand","8.6/10 Excellent boutique experience ","hotel"
"Empyrean Hotel","Tejgaon, Dhaka","Near Nabisco","true","NID","fb.com/empyrean","8.2/10 Very Good for business ","hotel"
"Hotel White Stone","Central Dhaka","Near Panthapath","true","NID","fb.com/whitestone","9.6/10 Exceptional cleanliness ","hotel"
"Sel Nibash","Dhanmondi, Dhaka","Near Green Road","true","NID","fb.com/selnibash","9.6/10 Great for long stays ","hotel"
"Ascott Palace","Baridhara, Dhaka","Diplomatic Zone","true","NID,Passport","fb.com/ascottpalace","8/10 Very Good security ","hotel"
"Hotel Givenci","Tejgaon, Dhaka","Near Farmgate","true","NID","fb.com/hotelgivenci","8/10 Very Good central location ","hotel"
"Radisson Blu Dhaka","Airport Road, Dhaka","Opposite Kurmitola Hospital","true","NID,Passport","fb.com/radissonbludhaka","7.6/10 Good garden views ","hotel"
"Hotel Sarina","Banani, Dhaka","Banani Circle","true","NID","fb.com/hotelsarina","7.6/10 Good for banquets ","hotel"
"Hotel Afford Inn","Uttara, Dhaka","Near Airport","true","NID","fb.com/affordinn","7.6/10 Convenient for transit ","hotel"
"The Ambassador","Dhanmondi, Dhaka","Road 2","true","NID","fb.com/ambassador","7.8/10 Good location ","hotel"
"Dhaka Regency","Airport Road, Dhaka","Nikunja 2","true","NID","fb.com/dhakaregency","6.8/10 Rooftop dining is good ","hotel"
"Studio23","Central Dhaka","Near Moghbazar","true","NID","fb.com/studio23","9.4/10 Exceptional design ","hotel"
"Hotel Omni Residency","Baridhara, Dhaka","Upscale area","true","NID","fb.com/omniresidency","9.6/10 Rejuvenating spa ","hotel"
"Asia Hotel","Central Dhaka","Near Press Club","true","NID","fb.com/asiahotel","8.6/10 Swedish massage available ","hotel"
"THE WAY Dhaka","Gulshan, Dhaka","Gulshan 2","true","NID","fb.com/thewaydhaka","8.8/10 Indoor pool is great ","hotel"
"Hotel Noorjahan Grand","Sylhet City","Near Dargah Gate","true","NID","fb.com/noorjahangrand","7.8/10 Good city views ","hotel"
"Hotel Metro Intl","Sylhet City","Bandar Bazar","true","NID","fb.com/metrointl","8.8/10 Complimentary valet ","hotel"
"Holy Inn","Sylhet City","Near Airport Road","true","NID","fb.com/holyinn","10/10 Exceptional service ","hotel"
"Grand Sylhet","Sylhet City","Near Airport","true","NID","fb.com/grandsylhet","9/10 Wonderful hot spring ","hotel"
"Rose View Hotel","Sylhet City","Upashahar","true","NID","fb.com/roseview","5.8/10 Luxury option ","hotel"
"Windsor Hotel","Sylhet City","Beside Osmani Museum","true","NID","fb.com/windsor","8/10 Very Good location ","hotel"
"Hotel Star Pacific","Sylhet City","Dargah Gate","true","NID","fb.com/starpacific","7.2/10 Good budget luxury ","hotel"
"Nirvana Inn","Sylhet City","Near Stadium","true","NID","fb.com/nirvanainn","8/10 Tranquil retreat ","hotel"
"La Vista Hotel","Sylhet City","Zinda Bazar","true","NID","fb.com/lavista","7.5/10 Central location ","hotel"
"Hotel Supreme","Sylhet City","Near Bus Stand","true","NID","fb.com/supreme","7/10 Basic amenities ","hotel"
"Sayeman Heritage","Cox's Bazar","Near Baharchara","true","NID","fb.com/sayemanheritage","8/10 Historic charm [16, 17]","hotel"
"Long Beach Hotel","Cox's Bazar","Kolatoli Circle","true","NID","fb.com/longbeach","8.2/10 Egyptian cotton sheets [18, 19]","hotel"
"White Orchid","Cox's Bazar","Near Beach","true","NID","fb.com/whiteorchid","8.2/10 Clean and well-staffed [18]","hotel"
"Hotel Sea Crown","Cox's Bazar","Beside Beach","true","NID","fb.com/seacrown","8/10 Nice budget hotel [18]","hotel"
"Prime Park Hotel","Cox's Bazar","Near Jawtala","true","NID","fb.com/primepark","8.2/10 Welcoming staff [16, 22]","hotel"
"Hotel Kollol","Cox's Bazar","Near Laboni Point","true","NID","fb.com/kollol","7.2/10 Good for families [16, 17]","hotel"
"Best Western Heritage","Cox's Bazar","Kolatoli Road","true","NID","fb.com/bwheritage","8/10 Excellent facilities ","hotel"
"Ramada by Wyndham","Cox's Bazar","Kolatoli Beach","true","NID","fb.com/ramadacox","8/10 Stunning beach access [22]","hotel"
"Royal Pearl Suites","Cox's Bazar","Near Beach","true","NID","fb.com/royalpearl","7.4/10 modern interiors [22]","hotel"
"Hotel Mishuk","Cox's Bazar","Laboni Point","false","NID","fb.com/mishuk","5.5/10 Management issues [18]","hotel"
"Praasad Paradise","Cox's Bazar","Near Beach","false","NID","fb.com/praasad","5.9/10 BBQ area is loud [18]","hotel"
"Ocean Paradise","Cox's Bazar","Kolatoli","true","NID","fb.com/oceanparadise","8.6/10 Great breakfasts [22]","hotel"
"Sayeman Beach Resort","Cox's Bazar","Beside Marine Drive","true","NID","fb.com/sayemanbeach","8/10 Good basic services ","resort"
"Sea Pearl Beach Resort","Inani, Cox's Bazar","Inani Beach via Marine Drive","true","NID,Passport","fb.com/seapearl","7.8/10 Away from crowd [18]","resort"
"Mermaid Beach Resort","Pechardwip, Cox's Bazar","Near Himchari","true","NID,Passport","fb.com/mermaidbeach","6.8/10 peaceful quiet around ","resort"
"Neeshorgo Hotel & Resort","Marine Drive, Cox's Bazar","Rickshaw from Kolatoli","true","NID","fb.com/neeshorgo","7.4/10 All good location ","resort"
"Mermaid Eco Resort","Cox's Bazar","Marine Drive","true","NID","fb.com/mermaideco","7.6/10 Serene environment [16, 17]","resort"
"Sampan Resort","Cox's Bazar","Beside Marine Drive","true","NID","fb.com/sampan","6.5/10 Traditional feel [16, 17]","resort"
"Anchor Eco Resort","Cox's Bazar","Near Beach","true","NID","fb.com/anchor","7/10 Eco-friendly [16, 17]","resort"
"Grand Sultan Tea Resort","Sreemangal","Near Lawachara Forest","true","NID,Passport","fb.com/grandsultan","7.2/10 Good golf course [16, 17]","resort"
"Balishira Resort","Sreemangal","Near Tea Gardens","true","NID","fb.com/balishira","7.6/10 Excellent nature [16, 17]","resort"
"Paragon Hotel & Resort","Sreemangal","Near Town","true","NID","fb.com/paragon","8/10 Very Good service [16, 17]","resort"
"Nazimgarh Garden Resort","Sylhet","Near Khadimnagar","true","NID","fb.com/nazimgarh","8.5/10 Lush green [17]","resort"
"Excelsior Sylhet","Sylhet","Near City","true","NID","fb.com/excelsior","7.5/10 Family resort [16, 17]","resort"
"Dream Square Resort","Gazipur","Near Sreepur","true","NID","fb.com/dreamsquare","3.5/5 Natural retreat [20, 23]","resort"
"Rain Forest Eco Resort","Gazipur","Near Sreepur","true","NID","fb.com/rainforest","3/5 Eco-conscious [20]","resort"
"RASS RESORT","Gazipur","Sreepur area","true","NID","fb.com/rassresort","3/5 Basic amenities [20]","resort"
"Sarah Resort","Gazipur","Sreepur","true","NID,Passport","fb.com/sarahresort","4.5/5 Top-tier luxury [20, 23]","resort"
"Kokomo Sunset Resort","Gazipur","Beside Lake","true","NID","fb.com/kokomo","3/5 Sunset views [20, 24]","resort"
"Joleswori Resort","Gazipur","Near Sreepur","false","NID","fb.com/joleswori","2/5 Service issues [20]","resort"
"Shalban Green Resort","Gazipur","Near Sal Forest","true","NID","fb.com/shalban","2/5 Basic stay [20]","resort"
"Saheb Bari Resort","Gazipur","Near City","true","NID","fb.com/sahebbari","3/5 Family friendly [20, 24]","resort"
"BCDM Rajendrapur","Gazipur","Rajendrapur","true","NID","fb.com/bcdm","4.5/5 Corporate retreat [20]","resort"
"Sabrina Dream Resort","Gazipur","Near Pubail","true","NID","fb.com/sabrina","3/5 Business focus [20, 23]","resort"
"Reverie Resort","Gazipur","Near City","true","NID","fb.com/reverie","3/5 Good for picnics [20, 24]","resort"
"Rajendra Eco Resort","Gazipur","Rajendrapur","true","NID","fb.com/rajendraeco","3/5 Forest vibes [20]","resort"
"Chuti Aronnobash","Gazipur","Near Pubail","true","NID","fb.com/chuti","2/5 Nature stay [20]","resort"
"Garden Centre Resort","Gazipur","Kaliganj","true","NID","fb.com/gardencentre","2/5 Basic [20]","resort"
"CCULB Resort","Gazipur","Ulukhola","true","NID","fb.com/cculb","3/5 Convention hall [20, 21]","resort"
"Chuti Resort Purbachal","Gazipur","Purbachal","true","NID","fb.com/chutipurbachal","2/5 New development [20]","resort"
"Sukh Sagar Resort","Gazipur","Kaliganj","true","NID","fb.com/sukhsagar","2/5 Lake view [20]","resort"
"Aristocrat Resort","Gazipur","Purbachal","true","NID","fb.com/aristocrat","2/5 Basic [20]","resort"
"Bhawal Resort & Spa","Gazipur","Noljahni Village","true","NID","fb.com/bhawalresort","Villas with forest views ","resort"
"Pubail Resort Club","Gazipur","Vadun area","true","NID","fb.com/pubailresort","Swimming pool focus [23]","resort"
"Greentech Resort","Gazipur","Dhaka-Mymensingh Hwy","true","NID","fb.com/greentech","3.8/10 Countryside retreat [23, 24]","resort"
"Nirvana Resort","Gazipur","Joydebpur","true","NID","fb.com/nirvanaresort","24-hour service [23]","resort"
"Megher Chaya","Gazipur","Konabari","true","NID","fb.com/megherchaya","Picnic spot specialized [23]","resort"
"PSCC Resort","Gazipur","Pubail College Road","true","NID","fb.com/pscc","Cultural center vibes [23, 24]","resort"
"Green Heaven","Gazipur","Jaydevpur Road","true","NID","fb.com/greenheaven","Non-smoking rooms [23]","resort"
"Insignia Hotels & Resorts","Gazipur","Tongi","true","NID","fb.com/insignia","3.5/5 Sauna and tennis [20, 23]","resort"
"Eden Garden Resort","Savar","Near City","true","NID","fb.com/edengarden","3/5 Good for weekend [21]"
"Resort Atlantis","Savar","Fantasy Kingdom","true","NID","fb.com/atlantis","4.1/5 Theme park access [24]","resort"
"Namir Green Resort","Gazipur","Near City","true","NID","fb.com/namir","4.1/5 Informal stay [24]","resort"
"Nokkhottrobari","Gazipur","Near Dhaka","true","NID","fb.com/nokkhottrobari","3.7/10 Lake and pool [24]","resort"
"Maya by Xpressmall","Uttara, Dhaka","Sector 1","false","NID","fb.com/maya","2/10 Poor service [21]","resort"
"Shaira Garden Resort","Bandar, Narayanganj","Near City","true","NID","fb.com/shaira","8/10 Wonderful stay ","resort"
"Secret Paradise","Sylhet","Near City","false","NID","fb.com/secret","2/10 Service complaints [16, 17]","resort"
"Nirjon Nature's Hideout","Kamalganj","Near Forest","true","NID","fb.com/nirjon","3/5 Quiet stay ","resort"
"Bonsai Eco Village","Kamalganj","Near Town","true","NID","fb.com/bonsai","2/5 Basic ","resort"
"Backyard Retreat","Sreemangal","Near Town","true","NID","fb.com/backyard","2/5 Simple ","resort"
"Himachol Resort","Sreemangal","Near Town","true","NID","fb.com/himachol","2/5 Nature focused ","resort"
"Lawachara Eco Cottage","Sreemangal","Near Forest","true","NID","fb.com/lawachara","3/5 Good access to trails [16, 17]","resort"